代码,name,ts_code,exchange,最新价,cats,命中数
002863,今飞凯达,002863.SZ,SZSE,5.66,['机器人'],1
002871,伟隆股份,002871.SZ,SZSE,20.49,['大模型'],1
002886,沃特股份,002886.SZ,SZSE,24.7,['机器人'],1
002896,中大力德,002896.SZ,SZSE,80.61,['机器人'],1
002897,意华股份,002897.SZ,SZSE,67.06,['智能驾驶'],1
002901,大博医疗,002901.SZ,SZSE,41.04,['机器人'],1
002903,宇环数控,002903.SZ,SZSE,49.05,['机器人'],1
002921,联诚精密,002921.SZ,SZSE,32.31,['机器人'],1
002927,泰永长征,002927.SZ,SZSE,19.19,['数字经济'],1
002931,锋龙股份,002931.SZ,SZSE,60.69,['机器人'],1
002932,明德生物,002932.SZ,SZSE,17.35,['大模型'],1
002933,新兴装备,002933.SZ,SZSE,31.17,['机器人'],1
002937,兴瑞科技,002937.SZ,SZSE,33.46,['智能驾驶'],1
002949,华阳国际,002949.SZ,SZSE,14.7,['大模型'],1
002955,鸿合科技,002955.SZ,SZSE,25.09,['大模型'],1
002957,科瑞技术,002957.SZ,SZSE,43.4,['机器人'],1
002960,青鸟消防,002960.SZ,SZSE,10.22,['机器人'],1
002972,科安达,002972.SZ,SZSE,13.28,['大模型'],1
002973,侨银股份,002973.SZ,SZSE,12.76,['智能驾驶'],1
002976,瑞玛精密,002976.SZ,SZSE,32.9,['智能驾驶'],1
002980,华盛昌,002980.SZ,SZSE,82.39,['大模型'],1
002984,森麒麟,002984.SZ,SZSE,16.2,['大模型'],1
002995,天地在线,002995.SZ,SZSE,23.12,['数字经济'],1
002997,瑞鹄模具,002997.SZ,SZSE,35.01,['机器人'],1
003001,中岩大地,003001.SZ,SZSE,17.83,['大模型'],1
003002,壶化股份,003002.SZ,SZSE,26.95,['机器人'],1
003005,竞业达,003005.SZ,SZSE,18.09,['大模型'],1
003008,开普检测,003008.SZ,SZSE,23.35,['机器人'],1
003016,欣贺股份,003016.SZ,SZSE,8.4,['数字经济'],1
003019,宸展光电,003019.SZ,SZSE,34.53,['大模型'],1
003021,兆威机电,003021.SZ,SZSE,101.84,['机器人'],1
003028,振邦智能,003028.SZ,SZSE,28.57,['机器人'],1
003033,征和工业,003033.SZ,SZSE,55.3,['机器人'],1
003038,鑫铂股份,003038.SZ,SZSE,14.44,['机器人'],1
600008,首创环保,600008.SH,SSE,3.14,['机器人'],1
600050,中国联通,600050.SH,SSE,4.72,['算力租赁'],1
600053,九鼎投资,600053.SH,SSE,9.86,['机器人'],1
600054,黄山旅游,600054.SH,SSE,11.36,['大模型'],1
600066,宇通客车,600066.SH,SSE,35.08,['智能驾驶'],1
600081,东风科技,600081.SH,SSE,11.7,['智能驾驶'],1
600094,大名城,600094.SH,SSE,4.72,['算力租赁'],1
600099,林海股份,600099.SH,SSE,11.62,['智能驾驶'],1
600104,上汽集团,600104.SH,SSE,13.48,['智能驾驶'],1
600105,永鼎股份,600105.SH,SSE,54.45,['CPO'],1
600114,东睦股份,600114.SH,SSE,34.92,['机器人'],1
600129,太极集团,600129.SH,SSE,15.65,['大模型'],1
600143,金发科技,600143.SH,SSE,17.62,['机器人'],1
600155,华创云信,600155.SH,SSE,6.41,['数字经济'],1
600156,华升股份,600156.SH,SSE,11.83,['算力租赁'],1
600166,福田汽车,600166.SH,SSE,3.63,['智能驾驶'],1
600184,光电股份,600184.SH,SSE,28.62,['机器人'],1
600196,复星医药,600196.SH,SSE,25.12,['机器人'],1
600201,生物股份,600201.SH,SSE,15.59,['大模型'],1
600203,福日电子,600203.SH,SSE,13.02,['机器人'],1
600212,绿能慧充,600212.SH,SSE,7.21,['机器人'],1
600215,派斯林,600215.SH,SSE,6.89,['机器人'],1
600258,首旅酒店,600258.SH,SSE,14.28,['大模型'],1
600262,北方股份,600262.SH,SSE,24.5,['智能驾驶'],1
600288,大恒科技,600288.SH,SSE,15.26,['大模型'],1
600302,标准股份,600302.SH,SSE,8.45,['机器人'],1
600308,华泰股份,600308.SH,SSE,3.93,['大模型'],1
600312,平高电气,600312.SH,SSE,22.8,['机器人'],1
600320,振华重工,600320.SH,SSE,5.3,['机器人'],1
600330,天通股份,600330.SH,SSE,31.6,['CPO'],1
600335,国机汽车,600335.SH,SSE,6.06,['机器人'],1
600345,长江通信,600345.SH,SSE,60.09,['大模型'],1
600366,宁波韵升,600366.SH,SSE,13.57,['机器人'],1
600415,小商品城,600415.SH,SSE,13.0,['大模型'],1
600418,江淮汽车,600418.SH,SSE,49.18,['智能驾驶'],1
600476,湘邮科技,600476.SH,SSE,12.81,['大模型'],1
600499,科达制造,600499.SH,SSE,18.75,['机器人'],1
600520,三佳科技,600520.SH,SSE,31.54,['机器人'],1
600522,中天科技,600522.SH,SSE,43.99,['CPO'],1
600523,贵航股份,600523.SH,SSE,13.66,['智能驾驶'],1
600526,菲达环保,600526.SH,SSE,5.32,['机器人'],1
600528,中铁工业,600528.SH,SSE,7.95,['机器人'],1
600539,狮头股份,600539.SH,SSE,18.69,['大模型'],1
600549,厦门钨业,600549.SH,SSE,57.95,['机器人'],1
600560,金自天正,600560.SH,SSE,14.55,['大模型'],1
600562,国睿科技,600562.SH,SSE,28.01,['智能驾驶'],1
600567,山鹰国际,600567.SH,SSE,1.45,['机器人'],1
600570,恒生电子,600570.SH,SSE,27.78,['大模型'],1
600571,信雅达,600571.SH,SSE,13.58,['大模型'],1
600580,卧龙电驱,600580.SH,SSE,40.56,['机器人'],1
600584,长电科技,600584.SH,SSE,56.04,['CPO'],1
600587,新华医疗,600587.SH,SSE,13.79,['机器人'],1
600589,大位科技,600589.SH,SSE,12.66,['算力租赁'],1
600590,泰豪科技,600590.SH,SSE,15.87,['机器人'],1
600592,龙溪股份,600592.SH,SSE,20.06,['机器人'],1
600596,新安股份,600596.SH,SSE,12.61,['机器人'],1
600602,云赛智联,600602.SH,SSE,22.65,['算力租赁'],1
600606,绿地控股,600606.SH,SSE,1.64,['数字经济'],1
600615,鑫源智造,600615.SH,SSE,11.62,['机器人'],1
600629,华建集团,600629.SH,SSE,20.57,['大模型'],1
600633,浙数文化,600633.SH,SSE,13.53,['大模型'],1
600637,东方明珠,600637.SH,SSE,10.34,['大模型'],1
600640,国脉文化,600640.SH,SSE,12.67,['大模型'],1
600645,中源协和,600645.SH,SSE,24.57,['大模型'],1
600654,中安科,600654.SH,SSE,4.08,['大模型'],1
